match_id,over,batter,batsman_runs,season
336000,1,SC Ganguly,4,2007/08
336000,3,AB Agarkar,4,2007/08
336000,4,SC Ganguly,4,2007/08
336000,5,SC Ganguly,4,2007/08
336000,10,SC Ganguly,4,2007/08
336000,13,DJ Hussey,4,2007/08
336000,14,DB Das,4,2007/08
336001,1,PA Patel,4,2007/08
336001,3,SP Fleming,4,2007/08
336001,3,S Vidyut,4,2007/08
336001,4,S Vidyut,4,2007/08
336001,5,PA Patel,4,2007/08
336001,5,PA Patel,4,2007/08
336001,6,S Vidyut,4,2007/08
336001,7,S Vidyut,4,2007/08
336001,8,S Vidyut,4,2007/08
336001,9,S Vidyut,4,2007/08
336001,9,MS Dhoni,4,2007/08
336001,11,S Vidyut,4,2007/08
336001,12,MS Dhoni,4,2007/08
336001,14,JA Morkel,4,2007/08
336001,16,JA Morkel,4,2007/08
336001,17,JA Morkel,4,2007/08
336001,2,V Sehwag,4,2007/08
336001,3,V Sehwag,4,2007/08
336001,3,V Sehwag,4,2007/08
336001,4,G Gambhir,4,2007/08
336001,4,G Gambhir,4,2007/08
336001,5,G Gambhir,4,2007/08
336001,5,G Gambhir,4,2007/08
336001,6,V Sehwag,4,2007/08
336001,6,V Sehwag,4,2007/08
336001,7,V Sehwag,4,2007/08
336001,8,G Gambhir,4,2007/08
336001,10,V Sehwag,4,2007/08
336001,14,AB de Villiers,4,2007/08
336001,16,AB de Villiers,4,2007/08
336001,18,S Dhawan,4,2007/08
336001,18,S Dhawan,4,2007/08
336002,1,HH Gibbs,4,2007/08
336002,4,AC Gilchrist,4,2007/08
336002,4,AC Gilchrist,4,2007/08
336002,5,HH Gibbs,4,2007/08
336002,7,HH Gibbs,4,2007/08
336002,7,HH Gibbs,4,2007/08
336002,8,HH Gibbs,4,2007/08
336002,8,HH Gibbs,4,2007/08
336002,10,AC Gilchrist,4,2007/08
336002,10,AC Gilchrist,4,2007/08
336002,11,RG Sharma,4,2007/08
336002,14,RG Sharma,4,2007/08
336002,15,DB Ravi Teja,4,2007/08
336002,16,Y Venugopal Rao,4,2007/08
336002,0,JH Kallis,4,2007/08
336002,0,JH Kallis,4,2007/08
336002,1,W Jaffer,4,2007/08
336002,2,JH Kallis,4,2007/08
336002,2,JH Kallis,4,2007/08
336002,3,Misbah-ul-Haq,4,2007/08
336002,4,JH Kallis,4,2007/08
336002,5,JH Kallis,4,2007/08
336002,7,Misbah-ul-Haq,4,2007/08
336002,10,Misbah-ul-Haq,4,2007/08
336002,10,Misbah-ul-Haq,4,2007/08
336002,15,R Dravid,4,2007/08
336002,15,R Dravid,4,2007/08
336002,15,R Dravid,4,2007/08
336002,15,V Kohli,4,2007/08
336002,16,CL White,4,2007/08
336002,17,V Kohli,4,2007/08
336002,17,B Akhil,4,2007/08
336002,17,B Akhil,4,2007/08
336003,0,SE Marsh,4,2007/08
336003,1,JR Hopes,4,2007/08
336003,1,JR Hopes,4,2007/08
336003,2,JR Hopes,4,2007/08
336003,3,JR Hopes,4,2007/08
336003,3,SE Marsh,4,2007/08
336003,4,KC Sangakkara,4,2007/08
336003,4,SE Marsh,4,2007/08
336003,5,KC Sangakkara,4,2007/08
336003,6,SE Marsh,4,2007/08
336003,7,SE Marsh,4,2007/08
336003,8,Yuvraj Singh,4,2007/08
336003,8,Yuvraj Singh,4,2007/08
336003,11,K Goel,4,2007/08
336003,13,IK Pathan,0,2007/08
336003,15,IK Pathan,4,2007/08
336003,16,KC Sangakkara,4,2007/08
336003,16,KC Sangakkara,4,2007/08
336003,17,IK Pathan,4,2007/08
336003,18,KC Sangakkara,4,2007/08
336003,19,PP Chawla,4,2007/08
336003,19,PP Chawla,4,2007/08
336003,19,PP Chawla,4,2007/08
336003,0,SC Ganguly,4,2007/08
336003,2,Mohammad Hafeez,4,2007/08
336003,4,DB Das,4,2007/08
336003,9,DJ Hussey,4,2007/08
336003,11,DJ Hussey,4,2007/08
336003,12,DJ Hussey,4,2007/08
336003,12,DJ Hussey,4,2007/08
336003,16,WP Saha,4,2007/08
336003,19,WP Saha,4,2007/08
336004,0,ST Jayasuriya,4,2007/08
336004,1,ST Jayasuriya,4,2007/08
336004,1,ST Jayasuriya,4,2007/08
336004,3,ST Jayasuriya,4,2007/08
336004,4,YV Takawale,4,2007/08
